shared_russian.json | [s] None => 171768 | [h] None => 8bb67e99d9 | 2023-11-16 13:28:24 (UTC+3)
shared_sc_schinese.json | [s] None => 9260 | [h] None => e8a20fc775 | 2023-11-16 13:28:24 (UTC+3)
shared_schinese.json | [s] None => 118174 | [h] None => 8542ef5b74 | 2023-11-16 13:28:24 (UTC+3)
shared_spanish.json | [s] None => 181997 | [h] None => cd4e5c22ef | 2023-11-16 13:28:24 (UTC+3)
shared_swedish.json | [s] None => 169540 | [h] None => 1b9facf972 | 2023-11-16 13:28:24 (UTC+3)
shared_tchinese.json | [s] None => 117641 | [h] None => af2f8755d5 | 2023-11-16 13:28:24 (UTC+3)
shared_thai.json | [s] None => 166884 | [h] None => 1e7444a1d7 | 2023-11-16 13:28:24 (UTC+3)
shared_turkish.json | [s] None => 176026 | [h] None => a5a2f1092b | 2023-11-16 13:28:24 (UTC+3)
shared_ukrainian.json | [s] None => 173251 | [h] None => faa9cacb6b | 2023-11-16 13:28:24 (UTC+3)
shared_vietnamese.json | [s] None => 169519 | [h] None => 02c3c13e16 | 2023-11-16 13:28:24 (UTC+3)
springcleaning22_brazilian.json | [s] None => 34634 | [h] None => 57393a229b | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_bulgarian.json | [s] None => 34564 | [h] None => 2acd529fe9 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_czech.json | [s] None => 33804 | [h] None => b7503bff91 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_danish.json | [s] None => 32625 | [h] None => 8109586718 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_dutch.json | [s] None => 2973 | [h] None => 8345b4b53b | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_english.json | [s] None => 30666 | [h] None => 023f259e5a | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_finnish.json | [s] None => 20453 | [h] None => e7245a9b9b | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_french.json | [s] None => 38801 | [h] None => e02e464bfb | 2023-11-16 13:28:23 (UTC+3)
