broodmother_incapacitating_bite | [s] None => 2634 | [h] None => 8cce2d11ea | 2023-11-16 13:28:37 (UTC+3)
broodmother_insatiable_hunger | [s] None => 3509 | [h] None => 11f4c5910c | 2023-11-16 13:28:37 (UTC+3)
broodmother_poison_sting | [s] None => 2341 | [h] None => 5d8c5c23c9 | 2023-11-16 13:28:37 (UTC+3)
broodmother_silken_bola | [s] None => 3341 | [h] None => a90d9f248d | 2023-11-16 13:28:37 (UTC+3)
broodmother_spawn_spiderite | [s] None => 2239 | [h] None => 57631d391d | 2023-11-16 13:28:37 (UTC+3)
broodmother_spawn_spiderlings | [s] None => 3758 | [h] None => cea835a6c1 | 2023-11-16 13:28:37 (UTC+3)
broodmother_spin_web | [s] None => 3633 | [h] None => 021aaac10c | 2023-11-16 13:28:37 (UTC+3)
broodmother_spin_web_destroy | [s] None => 1904 | [h] None => dce1b67398 | 2023-11-16 13:28:37 (UTC+3)
broodmother_sticky_snare | [s] None => 3069 | [h] None => f1b4437777 | 2023-11-16 13:28:37 (UTC+3)
chen_divine_favor | [s] None => 2723 | [h] None => 61d99cbbab | 2023-11-16 13:28:37 (UTC+3)
chen_hand_of_god | [s] None => 3206 | [h] None => 3d4f8913a9 | 2023-11-16 13:28:37 (UTC+3)
chen_holy_persuasion | [s] None => 4527 | [h] None => 988062e33b | 2023-11-16 13:28:37 (UTC+3)
chen_martyrdom | [s] None => 1971 | [h] None => 016f9a19e0 | 2023-11-16 13:28:37 (UTC+3)
chen_penitence | [s] None => 3242 | [h] None => c17c09a721 | 2023-11-16 13:28:37 (UTC+3)
chen_test_of_faith | [s] None => 2829 | [h] None => fb0b2d2d4a | 2023-11-16 13:28:37 (UTC+3)
chen_test_of_faith_teleport | [s] None => 2316 | [h] None => bebbc24a02 | 2023-11-16 13:28:37 (UTC+3)
clinkz_burning_army | [s] None => 2464 | [h] None => f9f2c8b004 | 2023-11-16 13:28:37 (UTC+3)
clinkz_burning_barrage | [s] None => 2741 | [h] None => 7a0ae8636f | 2023-11-16 13:28:37 (UTC+3)
clinkz_death_pact | [s] None => 4248 | [h] None => 1006368dfa | 2023-11-16 13:28:37 (UTC+3)
