pudge CN | [s] None => 70964 | [h] None => c43554b7e8 | 2023-11-16 13:28:53 (UTC+3)
pugna CN | [s] None => 67345 | [h] None => 6d6d889065 | 2023-11-16 13:28:53 (UTC+3)
queenofpain CN | [s] None => 64694 | [h] None => b36ed7b8e6 | 2023-11-16 13:28:53 (UTC+3)
rattletrap CN | [s] None => 81384 | [h] None => d3d5103040 | 2023-11-16 13:28:53 (UTC+3)
razor CN | [s] None => 67696 | [h] None => b8393d4f77 | 2023-11-16 13:28:53 (UTC+3)
riki CN | [s] None => 62117 | [h] None => dface522fe | 2023-11-16 13:28:53 (UTC+3)
rubick CN | [s] None => 64446 | [h] None => d356568660 | 2023-11-16 13:28:53 (UTC+3)
sand_king CN | [s] None => 67150 | [h] None => f580a624b1 | 2023-11-16 13:28:53 (UTC+3)
shadow_demon CN | [s] None => 72674 | [h] None => bab1e4add3 | 2023-11-16 13:28:53 (UTC+3)
shadow_shaman CN | [s] None => 65126 | [h] None => 48f1503c46 | 2023-11-16 13:28:53 (UTC+3)
shredder CN | [s] None => 84845 | [h] None => 55b93abf21 | 2023-11-16 13:28:53 (UTC+3)
silencer CN | [s] None => 65622 | [h] None => 15590e52c5 | 2023-11-16 13:28:53 (UTC+3)
skeleton_king CN | [s] None => 69181 | [h] None => 642975a3a6 | 2023-11-16 13:28:53 (UTC+3)
skywrath_mage CN | [s] None => 74439 | [h] None => 3f56d6acfb | 2023-11-16 13:28:53 (UTC+3)
slardar CN | [s] None => 64719 | [h] None => 0558a7d398 | 2023-11-16 13:28:53 (UTC+3)
slark CN | [s] None => 70861 | [h] None => 0d2bcb5e6e | 2023-11-16 13:28:53 (UTC+3)
snapfire CN | [s] None => 88700 | [h] None => aa645ca43b | 2023-11-16 13:28:53 (UTC+3)
sniper CN | [s] None => 71969 | [h] None => 73f7807d0d | 2023-11-16 13:28:53 (UTC+3)
spectre CN | [s] None => 70944 | [h] None => 41004de454 | 2023-11-16 13:28:53 (UTC+3)
spirit_breaker CN | [s] None => 69957 | [h] None => 00d5d075bb | 2023-11-16 13:28:53 (UTC+3)
storm_spirit CN | [s] None => 66513 | [h] None => dcb2584120 | 2023-11-16 13:28:53 (UTC+3)
sven CN | [s] None => 62107 | [h] None => 8410e4a757 | 2023-11-16 13:28:53 (UTC+3)
techies CN | [s] None => 74998 | [h] None => 9dcb95ecda | 2023-11-16 13:28:53 (UTC+3)
templar_assassin CN | [s] None => 70945 | [h] None => 78419fce9d | 2023-11-16 13:28:53 (UTC+3)
terrorblade CN | [s] None => 75667 | [h] None => c309cffb17 | 2023-11-16 13:28:53 (UTC+3)
tidehunter CN | [s] None => 69619 | [h] None => 03792c0a1c | 2023-11-16 13:28:53 (UTC+3)
tinker CN | [s] None => 74021 | [h] None => 39646d6435 | 2023-11-16 13:28:53 (UTC+3)
tiny CN | [s] None => 76523 | [h] None => 5ead16b944 | 2023-11-16 13:28:53 (UTC+3)
treant CN | [s] None => 77172 | [h] None => 69d40b0576 | 2023-11-16 13:28:53 (UTC+3)
troll_warlord CN | [s] None => 74510 | [h] None => 9524b4748c | 2023-11-16 13:28:53 (UTC+3)
tusk CN | [s] None => 74293 | [h] None => d737889b27 | 2023-11-16 13:28:53 (UTC+3)
undying CN | [s] None => 67398 | [h] None => 8127b8be49 | 2023-11-16 13:28:53 (UTC+3)
ursa CN | [s] None => 63200 | [h] None => 29c2f11481 | 2023-11-16 13:28:53 (UTC+3)
vengefulspirit CN | [s] None => 63325 | [h] None => d757a3b06a | 2023-11-16 13:28:53 (UTC+3)
venomancer CN | [s] None => 78672 | [h] None => 6943d34697 | 2023-11-16 13:28:53 (UTC+3)
viper CN | [s] None => 73013 | [h] None => 92fc91d974 | 2023-11-16 13:28:53 (UTC+3)
visage CN | [s] None => 71375 | [h] None => e36524e651 | 2023-11-16 13:28:53 (UTC+3)
void_spirit CN | [s] None => 69984 | [h] None => dfa1e21969 | 2023-11-16 13:28:53 (UTC+3)
warlock CN | [s] None => 70877 | [h] None => 966e489a3f | 2023-11-16 13:28:53 (UTC+3)
weaver CN | [s] None => 65976 | [h] None => fd48870792 | 2023-11-16 13:28:53 (UTC+3)
windrunner CN | [s] None => 70444 | [h] None => 20c3a4fbf2 | 2023-11-16 13:28:53 (UTC+3)
winter_wyvern CN | [s] None => 69295 | [h] None => 1ae1f6d143 | 2023-11-16 13:28:53 (UTC+3)
wisp CN | [s] None => 75086 | [h] None => 0507904ed7 | 2023-11-16 13:28:53 (UTC+3)
witch_doctor CN | [s] None => 69692 | [h] None => 263eff99c2 | 2023-11-16 13:28:53 (UTC+3)
zuus CN | [s] None => 77252 | [h] None => 0de4a67b55 | 2023-11-16 13:28:53 (UTC+3)
spirit_breaker | [s] 32558 => 32553 | [h] dfdeb3b356 => d194be9d99 | 2023-11-17 07:07:33 (UTC+3)
spirit_breaker CN | [s] 69957 => 69952 | [h] 00d5d075bb => b920c57255 | 2023-11-17 19:06:33 (UTC+3)
bloodseeker CN | [h] 211fa78b48 => 030c2bfe1e | 2023-11-18 19:06:56 (UTC+3)
enigma CN | [h] ef98a6f143 => a0570aab74 | 2023-11-18 19:06:56 (UTC+3)
spirit_breaker CN | [h] b920c57255 => 2f67c696d4 | 2023-11-18 19:06:56 (UTC+3)
ancient_apparition | [s] 30902 => 30896 | [h] d8e07db3f9 => 15eabdaa16 | 2023-11-21 03:32:48 (UTC+3)
bristleback | [s] 35275 => 35287 | [h] 1b9d212c2b => a2206971ee | 2023-11-21 03:32:48 (UTC+3)
chaos_knight | [s] 31370 => 31372 | [h] a668696270 => b45d8dd067 | 2023-11-21 03:32:48 (UTC+3)
dark_willow | [h] 23a5381635 => 6307d7793f | 2023-11-21 03:32:48 (UTC+3)
drow_ranger | [h] dc53d4cdee => 495750ffd1 | 2023-11-21 03:32:48 (UTC+3)
enigma | [h] 4e80f5b536 => df67970d19 | 2023-11-21 03:32:48 (UTC+3)
grimstroke | [s] 37895 => 38037 | [h] 279b4689f7 => 7f11e9fcbc | 2023-11-21 03:32:48 (UTC+3)
gyrocopter | [h] f59e7cb841 => 1383b2de31 | 2023-11-21 03:32:48 (UTC+3)
juggernaut | [h] 7ad60a2cd9 => 30b7e36729 | 2023-11-21 03:32:48 (UTC+3)
kunkka | [h] dff48bdce1 => 6c681f3c89 | 2023-11-21 03:32:48 (UTC+3)
leshrac | [s] 32512 => 32516 | [h] 80462c903f => aff8b4af97 | 2023-11-21 03:32:48 (UTC+3)
lion | [h] d0ed73a373 => 02948017c2 | 2023-11-21 03:32:48 (UTC+3)
lycan | [s] 33190 => 33182 | [h] b60b8be60b => 72d7bd5ec7 | 2023-11-21 03:32:48 (UTC+3)
